song,note_f1,onset_mae_ms,offset_mae_ms,predicted_notes,gt_notes
happy_birthday,0.0,None,None,0,24
old_macdonald,0.0,None,None,0,42
happy_birthday,0.9090909090909091,14.2834467120181,112.9002267573697,20,24
old_macdonald,0.7272727272727273,13.386243386243354,366.3227513227514,24,42
happy_birthday,0.9090909090909091,14.2834467120181,112.9002267573697,20,24
old_macdonald,0.7272727272727273,13.386243386243354,366.3227513227514,24,42
happy_birthday,0.9090909090909091,14.2834467120181,112.9002267573697,20,24
old_macdonald,0.7272727272727273,13.386243386243354,366.3227513227514,24,42
happy_birthday,0.0,None,None,0,24
old_macdonald,0.0,None,None,0,42
happy_birthday,0.9787234042553191,13.262348417627889,39.445923296855,23,24
old_macdonald,0.9090909090909091,9.775186264982187,107.74603174603196,35,42
happy_birthday,0.9787234042553191,13.262348417627889,39.445923296855,23,24
old_macdonald,0.9090909090909091,9.775186264982187,107.74603174603196,35,42
